,Unnamed: 0,Edad,Sexo,Perscargo,Estrato,Nivel de estudios,Tipo de contrato,Ingresos,Egresos,Tipo de actividad,Tipo de vivienda,Total activos,Total pasivos,Salario,Ingresos por arriendo,Ingresos por honorarios,Ingresos financieros,Otros ingresos,Gasto familiar,Gasto obligatorio,Gasto arriendo,Otros gastos,Destino,Monto,Plazo,Cuota,ConoCliente,Garantia,RespPat,Fecha_corte,CuidadRes,Ocupacion,Agencia,Cargo,Califica,FecIngEmp,FecIngreso,FecUltAct,Ciiu,Pagare,Estado,MoraCome,EndeuIndi,Puntaje
48,49,36,yes,2,3,Profesional,Indefinido,2600000,1591000,Empleado,Arrendada,0,4000000,2600000,0,0,0,0,0,1591000,0,0,Consumo,2500000,24,137.629,Buenas Referencias,Con Codeudor(es),Sin Patrimonio,2009-01-31,Medellin,Profesionales de la informática,Floresta,,0,2003-01-01,2006-09-27,2009-01-09,actividades inmobili - informatica y activi,,Negada,Con Experiencia sin Mora,6,
49,50,43,no,1,3,Bachiller,Ninguno,1450000,1251000,Independiente con Experiencia > 3 anos,Familiar,0,3317000,0,0,300000,1150000,0,283000,163000,805000,0,Capital de Trabajo,741000,6,132511,Buenas Referencias,Codeudor,Sin Patrimonio,2009-01-31,Medellin,Sin Profesión,Microcrédito,,1,2003-01-01,2009-01-17,2009-01-16,comercio al por mayo - comercio mantenimien,41847.0,Negado,Con Experiencia sin Mora,0,37.0
50,51,39,yes,4,3,Técnico,Indefinido,496900,143000,Empleado,Familiar,0,1000000,496900,0,0,0,0,0,143000,0,0,Consumo,4000000,36,155.131,Buenas Referencias,Con Codeudor(es),Vehìculo sin Prenda,2009-03-31,EL CARMEN DE VIBORAL,Técnicos  en electrónica y telecomunicaciones,Rionegro,,0,1998-07-03,2006-01-07,2009-03-18,otras actividades em - obtencion y suminist,,Negado,Mora mayor a 60 Dìas,0,72.0
51,52,44,yes,3,2,Primaria,Ninguno,10500000,9967000,Independiente,Arrendada,0,0,0,0,0,0,10500000,0,9967000,0,0,Consumo,49000000,60,$ 1.439.652,Buena Experiencia CFB,Hipoteca,Prop.con Hipoteca,2009-03-31,Itagui,Sin Profesión,Envigado,,1,2003-07-01,2007-01-11,2009-03-10,otras actividades em - actividades de arqui,,Negada,Màximo 3 moras 30 Dìas,23,
52,53,43,yes,3,3,Tecnólogo,Indefinido,1522000,264000,Empleado,Propia,0,376500,1154000,0,0,0,368000,0,264000,0,0,Consumo,12500000,48,454.521,Buenas Referencias,Sin Codeudor,Prop.sin Hipoteca,2009-03-31,Medellin,Técnicos postsecundarios no universitarios y asistentes,Centro,,1,2005-02-01,2003-09-04,2009-03-07,otras actividades em - actividades de inves,,Negado,Màximo 3 moras 30 Dìas,0,63.0
53,54,57,yes,2,2,Primaria,Indefinido,765000,575000,Empleado,Arrendada,0,0,691000,0,0,0,74000,0,575000,0,0,Consumo,3000000,36,124.61,Buenas Referencias,Con Codeudor(es),Sin Patrimonio,2009-03-31,Rionegro,Sin Profesión,Rionegro,,0,1994-01-01,2005-11-10,2009-03-05,otras actividades em - actividades de inves,,Negada,Màximo 3 moras 30 Dìas,53,
54,55,31,no,1,2,Primaria,Indefinido,496900,0,Empleado,Propia,0,0,496900,0,0,0,0,0,0,0,0,Consumo,1200000,18,80748,Buenas Referencias,Con Codeudor(es),Sin Patrimonio,2009-01-31,Medellin,Sin Profesión,Altavista,,1,2007-02-27,2009-01-26,2009-01-22,servicio domestico,41999.0,Negado,Sin experiencia,0,30.0
55,56,75,yes,4,2,Primaria,Ninguno,461500,139000,Jubilado,Propia,0,0,461500,0,0,0,0,0,139000,0,0,Consumo,15000000,48,464485,Buena Experiencia CFB,Con Codeudor(es),Prop.sin Hipoteca,2009-01-31,Medellin,Sin Profesión,Centro,,1,1996-07-01,1999-04-29,2009-01-15,,41805.0,Negado,Con Experiencia sin Mora,0,78.0
56,57,38,no,4,2,Profesional,Indefinido,804993,0,Empleado,Arrendada,0,0,804993,0,0,0,0,0,0,0,0,Consumo,2000000,18,137.664,Buenas Referencias,Fondo de Garantia,Sin Patrimonio,2009-03-31,Bello,Profesores de educación primaria,Bello,,0,2009-01-29,2007-02-17,2009-03-12,educacion - educacion  en todas,,Negado,Dos moras 60 Dìas,0,49.0
57,58,64,yes,0,4,Bachiller,Ninguno,1683000,429000,Independiente,Familiar,0,0,1683000,0,0,0,0,0,429000,0,0,Consumo,1200000,18,80748,Buena Experiencia CFB,Sin Codeudor,Prop.con Hipoteca,2009-01-31,Envigado,Sin Profesión,Sabaneta,,1,2000-01-01,2006-06-12,2009-01-09,actividades inmobili - actividades inmobili,41711.0,Negado,Con Experiencia sin Mora,0,51.0
58,59,57,yes,3,2,Profesional,Indefinido,1698112,607000,Empleado,Propia,0,8000000,1698112,0,0,0,0,0,607000,0,0,Consumo,4000000,36,159463,Buenas Referencias,Libranza Establecida,Sin Patrimonio,2009-01-31,Medellin,Profesores de educación secundaria,Centro,,1,1980-03-12,2000-03-24,2009-01-16,educacion - educacion  en todas,41858.0,Negado,Con Experiencia sin Mora,0,56.0
59,60,38,no,4,2,Profesional,Indefinido,804993,0,Empleado,Arrendada,0,0,804993,0,0,0,0,0,0,0,0,Consumo,2000000,18,137.664,Buenas Referencias,Fondo de Garantia,Sin Patrimonio,2009-03-31,Bello,Profesores de educación primaria,Bello,,0,2009-01-29,2007-02-17,2009-03-12,educacion - educacion  en todas,,Negado,Dos moras 60 Dìas,0,45.0
60,61,55,yes,1,3,Profesional,Indefinido,1013132,33000,Empleado,Familiar,0,0,1013132,0,0,0,0,0,33000,0,0,Consumo,3000000,36,119597,Buenas Referencias,Libranza Establecida,Sin Patrimonio,2009-01-31,Bello,Filósofos,Belen,,1,2008-04-01,2009-01-29,2009-01-20,educacion - educacion  en todas,41956.0,Negado,Con Experiencia sin Mora,0,61.0
61,62,38,no,4,2,Profesional,Indefinido,804993,0,Empleado,Arrendada,0,0,804993,0,0,0,0,0,0,0,0,Consumo,2000000,18,137.664,Buenas Referencias,Fondo de Garantia,Sin Patrimonio,2009-03-31,Bello,Profesores de educación primaria,Bello,,0,2009-01-29,2007-02-17,2009-03-12,educacion - educacion  en todas,,Negado,Dos moras 60 Dìas,0,52.0
62,63,38,no,4,2,Profesional,Indefinido,804993,0,Empleado,Arrendada,0,0,804993,0,0,0,0,0,0,0,0,Consumo,2000000,18,137.664,Buenas Referencias,Fondo de Garantia,Sin Patrimonio,2009-03-31,Bello,Profesores de educación primaria,Bello,,0,2009-01-29,2007-02-17,2009-03-12,educacion - educacion  en todas,,Negado,Dos moras 60 Dìas,0,45.0
63,64,46,no,0,2,Bachiller,Ninguno,1150000,258000,Independiente,Familiar,0,0,0,350000,0,0,800000,0,258000,0,0,Consumo,2000000,24,110.103,Buena Experiencia CFB,Con Codeudor(es),Prop.sin Hipoteca,2009-03-31,La Estrella,Sin Profesión,Caldas,,1,,2001-04-06,2009-03-31,comercio al por mayo,,Negado,Con Experiencia sin Mora,0,35.0
64,65,57,no,1,3,Profesional,Indefinido,4271000,775000,Empleado,Familiar,0,11000000,4271000,0,0,0,0,0,775000,0,0,Consumo,11000000,48,353.41,Sin Referencias,Libranza Establecida,Sin Patrimonio,2009-03-31,Caldas,Profesores y docentes en educación formal,Caldas,,1,1974-09-25,2005-03-16,2009-03-13,educacion - educacion  en todas,,Negada,Mora mayor a 60 Dìas,4,
65,66,56,yes,2,2,Bachiller,Ninguno,1254264,142000,Jubilado,Propia,0,0,1254264,0,0,0,0,0,142000,0,0,Consumo,4500000,36,169538,Buena Experiencia CFB,Sin Codeudor,Prop.sin Hipoteca,2009-01-31,Bello,Sin Profesión,Belen,,1,1990-08-02,2000-01-04,2009-01-20,administracion publi - actividades legislat,41977.0,Negado,Con Experiencia sin Mora,0,50.0
66,67,30,no,3,3,Profesional,Indefinido,1013000,146000,Empleado,Arrendada,0,0,1013000,0,0,0,0,0,146000,0,0,Consumo,3500000,36,135.74,Sin Referencias,Libranza Establecida,Sin Patrimonio,2009-03-31,Medellin,Profesores de educación secundaria,Centro,,0,2006-02-14,2006-12-09,2009-03-06,educacion - educacion  en todas,,Negada,Mora mayor a 60 Dìas,9,
